 5.1472556 -2.9717758  9.2417020
 0.0000000  5.9435406  9.2417020
-5.1472556 -2.9717758  9.2417020
 1.0000000  0.0000000  0.0000000
 0.0000000  1.0000000  0.0000000
 0.0000000  0.0000000  1.0000000
 0.1409440  0.1409443  0.1409440 Li
 0.1409440  0.1409443  0.6409440 Li
 0.1409440  0.6409443  0.1409440 Li
 0.1409440  0.6409443  0.6409440 Li
 0.6409440  0.1409443  0.1409440 Li
 0.6409440  0.1409443  0.6409440 Li
 0.6409440  0.6409443  0.1409440 Li
 0.6409440  0.6409443  0.6409440 Li
 0.3909430  0.3909436  0.3909430 Li
 0.3909430  0.3909436  0.8909430 Li
 0.3909430  0.8909436  0.3909430 Li
 0.3909430  0.8909436  0.8909430 Li
 0.8909430  0.3909436  0.3909430 Li
 0.8909430  0.3909436  0.8909430 Li
 0.8909430  0.8909436  0.3909430 Li
 0.8909430  0.8909436  0.8909430 Li
 0.0002050  0.0002050  0.0002050 Ta
 0.0002050  0.0002050  0.5002051 Ta
 0.0002050  0.5002051  0.0002050 Ta
 0.0002050  0.5002051  0.5002051 Ta
 0.5002051  0.0002050  0.0002050 Ta
 0.5002051  0.0002050  0.5002051 Ta
 0.5002051  0.5002051  0.0002050 Nb
 0.5002051  0.5002051  0.5002051 Nb
 0.2502043  0.2502047  0.2502043 Ta
 0.2502043  0.2502047  0.7502043 Ta
 0.2502043  0.7502047  0.2502043 Ta
 0.2502043  0.7502047  0.7502043 Ta
 0.7502043  0.2502047  0.2502043 Ta
 0.7502043  0.2502047  0.7502043 Nb
 0.7502043  0.7502047  0.2502043 Nb
 0.7502043  0.7502047  0.7502043 Ta
 0.0538124  0.1816432  0.3601874 O
 0.0538124  0.1816432  0.8601874 O
 0.0538124  0.6816431  0.3601874 O
 0.0538124  0.6816431  0.8601874 O
 0.5538123  0.1816432  0.3601874 O
 0.5538123  0.1816432  0.8601874 O
 0.5538123  0.6816431  0.3601874 O
 0.5538123  0.6816431  0.8601874 O
 0.3601873  0.0538129  0.1816427 O
 0.3601873  0.0538129  0.6816427 O
 0.3601873  0.5538129  0.1816427 O
 0.3601873  0.5538129  0.6816427 O
 0.8601873  0.0538129  0.1816427 O
 0.8601873  0.0538129  0.6816427 O
 0.8601873  0.5538129  0.1816427 O
 0.8601873  0.5538129  0.6816427 O
 0.1816428  0.3601876  0.0538124 O
 0.1816428  0.3601876  0.5538125 O
 0.1816428  0.8601876  0.0538124 O
 0.1816428  0.8601876  0.5538125 O
 0.6816429  0.3601876  0.0538124 O
 0.6816429  0.3601876  0.5538125 O
 0.6816429  0.8601876  0.0538124 O
 0.6816429  0.8601876  0.5538125 O
 0.4316420  0.3038123  0.1101893 O
 0.4316420  0.3038123  0.6101893 O
 0.4316420  0.8038123  0.1101893 O
 0.4316420  0.8038123  0.6101893 O
 0.9316420  0.3038123  0.1101893 O
 0.9316420  0.3038123  0.6101893 O
 0.9316420  0.8038123  0.1101893 O
 0.9316420  0.8038123  0.6101893 O
 0.1101894  0.4316424  0.3038117 O
 0.1101894  0.4316424  0.8038118 O
 0.1101894  0.9316424  0.3038117 O
 0.1101894  0.9316424  0.8038118 O
 0.6101894  0.4316424  0.3038117 O
 0.6101894  0.4316424  0.8038118 O
 0.6101894  0.9316424  0.3038117 O
 0.6101894  0.9316424  0.8038118 O
 0.3038116  0.1101900  0.4316419 O
 0.3038116  0.1101900  0.9316419 O
 0.3038116  0.6101901  0.4316419 O
 0.3038116  0.6101901  0.9316419 O
 0.8038116  0.1101900  0.4316419 O
 0.8038116  0.1101900  0.9316419 O
 0.8038116  0.6101901  0.4316419 O
 0.8038116  0.6101901  0.9316419 O
end

 5.1472556 -2.9717758  9.2417020
 0.0000000  5.9435406  9.2417020
-5.1472556 -2.9717758  9.2417020
 1.0000000  0.0000000  0.0000000
 0.0000000  1.0000000  0.0000000
